n,edgeList,queries
100000,"[0, 1, 655]","[3171, 22437, 1]"
,"[1, 2, 115]","[18029, 1150, 1]"
,"[2, 3, 26]","[92611, 20793, 1]"
,"[3, 4, 760]","[92919, 56921, 1]"
,"[4, 5, 282]","[59744, 73277, 1]"
,"[5, 6, 251]","[73005, 54861, 1]"
,"[6, 7, 229]","[76672, 47159, 1]"
,"[7, 8, 143]","[13444, 20597, 1]"
,"[8, 9, 755]","[62557, 96729, 1]"
,"[9, 10, 105]","[235, 41143, 1]"
,"[10, 11, 693]","[64099, 3760, 1]"
,"[11, 12, 759]","[93264, 20945, 1]"
,"[12, 13, 914]","[63297, 24981, 1]"
,"[13, 14, 559]","[82949, 2704, 1]"
,"[14, 15, 90]","[89124, 30468, 1]"
,"[15, 16, 605]","[68083, 24041, 1]"
,"[16, 17, 433]","[7685, 7118, 1]"
,"[17, 18, 33]","[1110, 87849, 1]"
,"[18, 19, 31]","[4947, 28560, 1]"
,"[19, 20, 96]","[77017, 1553, 1]"
,"[20, 21, 224]","[11700, 14336, 1]"
,"[21, 22, 239]","[8004, 73286, 1]"
,"[22, 23, 518]","[6418, 6625, 1]"
,"[23, 24, 617]","[74364, 22733, 1]"
,"[24, 25, 28]","[73281, 22058, 1]"
,"[25, 26, 575]","[14726, 481, 1]"
,"[26, 27, 204]","[25860, 71284, 1]"
,"[27, 28, 734]","[69446, 63053, 1]"
,"[28, 29, 666]","[67068, 13773, 1]"
,"[29, 30, 719]","[43810, 15013, 1]"
,"[30, 31, 559]","[38048, 13775, 1]"
,"[31, 32, 430]","[61011, 66026, 1]"
,"[32, 33, 226]","[76091, 21044, 1]"
,"[33, 34, 460]","[55765, 48102, 1]"
,"[34, 35, 604]","[37415, 7239, 1]"
,"[35, 36, 285]","[10291, 51635, 1]"
,"[36, 37, 829]","[23092, 96483, 1]"
,"[37, 38, 891]","[36879, 18284, 1]"
,"[38, 39, 7]","[77937, 46541, 1]"
,"[39, 40, 778]","[88591, 48048, 1]"
,"[40, 41, 826]","[48273, 29107, 1]"
,"[41, 42, 164]","[66864, 63218, 1]"
,"[42, 43, 715]","[6473, 74774, 1]"
,"[43, 44, 433]","[62684, 76171, 1]"
,"[44, 45, 349]","[11699, 41592, 1]"
,"[45, 46, 285]","[86886, 39661, 1]"
,"[46, 47, 160]","[20830, 22934, 1]"
,"[47, 48, 221]","[93041, 97564, 1]"
,"[48, 49, 981]","[6720, 47127, 1]"
,"[49, 50, 782]","[71965, 86764, 1]"
,"[50, 51, 345]","[26119, 18118, 1]"
,"[51, 52, 105]","[92888, 68179, 1]"
,"[52, 53, 95]","[29725, 61539, 1]"
,"[53, 54, 390]","[8209, 91299, 1]"
,"[54, 55, 100]","[49130, 69481, 1]"
,"[55, 56, 368]","[63187, 43170, 1]"
,"[56, 57, 868]","[40899, 33355, 1]"
,"[57, 58, 353]","[79958, 53110, 1]"
,"[58, 59, 619]","[28105, 23798, 1]"
,"[59, 60, 271]","[34811, 19731, 1]"
,"[60, 61, 827]","[38176, 51362, 1]"
,"[61, 62, 45]","[53080, 7612, 1]"
,"[62, 63, 748]","[40902, 63614, 1]"
,"[63, 64, 471]","[23772, 78516, 1]"
,"[64, 65, 550]","[33596, 66934, 1]"
,"[65, 66, 128]","[34985, 20157, 1]"
,"[66, 67, 997]","[24083, 3105, 1]"
,"[67, 68, 945]","[80601, 3008, 1]"
,"[68, 69, 388]","[1906, 13961, 1]"
,"[69, 70, 81]","[97765, 38260, 1]"
,"[70, 71, 566]","[29335, 12836, 1]"
,"[71, 72, 301]","[5211, 8859, 1]"
,"[72, 73, 850]","[56870, 83998, 1]"
,"[73, 74, 644]","[7940, 79101, 1]"
